restaurant_name,name,rating,review,items_ordered,purchase_date,user_since
"Kober Mie, Kaca Piring",M****************,5.0,makanan nya enak,Mie Setan,5 July 2021,Gojek user since 3 January 2020
"Kober Mie, Kaca Piring",E**,5.0,makanan nya enak banget 🥰,Udang Keju - Mie Iblis - Mie Iblis,16 April 2022,Gojek user since 21 March 2019
"Kober Mie, Kaca Piring",P**** B***,5.0,makanan paling favorit setiap ke surabaya,Kerang Emas - Mie Iblis,8 June 2022,Gojek user since 12 January 2016
"Kober Mie, Kaca Piring",V***,1.0,makanan saya kurang. beli karage gak di kasih karage nya. beli udang rambutan yang datang lumpia. baru ini Kober kek gini,Kober Mie Manis - Udang Rambutan - Chicken Karaage - Udang Keju,8 October 2025,Gojek user since 21 June 2024
"Kober Mie, Kaca Piring",U****** K******,2.0,"makanan tiba dalam keadaan dingin, wadah makan penyok.. dan rasa tidak seperti biasa nya",Kober Mie Original - Kober Mie Gurih - Kober Mie Gurih - Kober Mie Gurih - Lemon Splash,10 February 2023,Gojek user since 25 February 2021
"Kober Mie, Kaca Piring",A***,3.0,makanan yang datang tidak sesuai orderan,Mie Iblis,29 September 2021,Gojek user since 21 September 2015
"Kober Mie, Kaca Piring",V*** M**** D******,1.0,"makanan yg saya pesan kurang, total saya pesan 5 yg datang cmn 4",Udang Rambutan - Mie Iblis - Udang Keju,18 November 2021,Gojek user since 18 January 2020
"Kober Mie, Kaca Piring",R****,1.0,"makanannya belum sampai, gojeknya php katanya sudah sampe tapi tidak ada",Mie Iblis - Udang Rambutan - Sushi,20 November 2021,Gojek user since 22 February 2021
"Kober Mie, Kaca Piring",K**** C******,5.0,makanannya enak bangett.rasa sushi dan ceker nya tetep g berubah.endulita bgt,Mie Setan - Sushi - Ceker - Udang Rambutan,29 November 2021,Gojek user since 6 June 2021
"Kober Mie, Kaca Piring",N*** A******,2.0,makanannya enak cuman beberapa kali order ga dikasih sumpit,Mie Setan - Udang Keju,31 December 2020,Gojek user since 11 September 2015
"Kober Mie, Kaca Piring",wenydiah,5.0,makanannya mantul...,Kober Mie Manis - Kober Mie Manis - Udang Keju,25 October 2023,Gojek user since 4 September 2018
"Kober Mie, Kaca Piring",A*** S,2.0,makananya dingin,Koberkan 4,30 December 2020,Gojek user since 18 December 2017
"Kober Mie, Kaca Piring",Dewi Eka Pratiwi,5.0,makasih enakkkmmmm,Mie Setan - Udang Rambutan - Lumpia Udang,8 July 2022,Gojek user since 13 November 2017
"Kober Mie, Kaca Piring",Y****,5.0,makasih pak gojek,Siomay - Udang Rambutan,23 April 2021,Gojek user since 19 April 2018
"Kober Mie, Kaca Piring",christy,5.0,makasih sdh di anter makannanya,Mie Setan - Udang Keju - Mie Angel,28 August 2022,Gojek user since 5 October 2019
"Kober Mie, Kaca Piring",A*****,5.0,makasii bikin makanan enak!,Mie Angel - California Roll - Udang Keju,29 May 2021,Gojek user since 10 July 2019
